city;city_ascii;lat;lng;country;iso2;iso3;admin_name;capital;population;id
Prague;Prague;50,0875;14,4214;Czechia;CZ;CZE;Praha;primary;1384732;1203744823
Brno;Brno;49,1925;16,6083;Czechia;CZ;CZE;Jihomoravský Kraj;admin;400566;1203676514
Ostrava;Ostrava;49,8356;18,2925;Czechia;CZ;CZE;Moravskoslezský Kraj;admin;284765;1203687206
Plzeň;Plzen;49,7475;13,3775;Czechia;CZ;CZE;Plzeňský Kraj;admin;185599;1203402469
Liberec;Liberec;50,7667;15,0667;Czechia;CZ;CZE;Liberecký Kraj;admin;107982;1203577727
Olomouc;Olomouc;49,5939;17,2508;Czechia;CZ;CZE;Olomoucký Kraj;admin;102293;1203328061
České Budějovice;Ceske Budejovice;48,9747;14,4747;Czechia;CZ;CZE;Jihočeský Kraj;admin;97377;1203398046
Hradec Králové;Hradec Kralove;50,2092;15,8322;Czechia;CZ;CZE;Královéhradecký Kraj;admin;93906;1203430618
Pardubice;Pardubice;50,0386;15,7792;Czechia;CZ;CZE;Pardubický Kraj;admin;92362;1203857442
Ústí nad Labem;Usti nad Labem;50,6583;14,0417;Czechia;CZ;CZE;Ústecký Kraj;admin;91342;1203734193
Zlín;Zlin;49,2331;17,6669;Czechia;CZ;CZE;Zlínský Kraj;admin;74255;1203582141
Havířov;Havirov;49,7831;18,4228;Czechia;CZ;CZE;Moravskoslezský Kraj;;69694;1203173875
Kladno;Kladno;50,1431;14,1053;Czechia;CZ;CZE;Středočeský Kraj;;69078;1203557079
Most;Most;50,5031;13,6367;Czechia;CZ;CZE;Ústecký Kraj;;63882;1203813984
Opava;Opava;49,9381;17,9044;Czechia;CZ;CZE;Moravskoslezský Kraj;;55600;1203142483
Jihlava;Jihlava;49,4003;15,5906;Czechia;CZ;CZE;Vysočina;admin;53986;1203810604
Frýdek-Místek;Frydek-Mistek;49,6856;18,3506;Czechia;CZ;CZE;Moravskoslezský Kraj;;53938;1203111584
Teplice;Teplice;50,6444;13,8319;Czechia;CZ;CZE;Ústecký Kraj;;50959;1203801370
Karviná;Karvina;49,8542;18,5428;Czechia;CZ;CZE;Moravskoslezský Kraj;;49724;1203738904
Karlovy Vary;Karlovy Vary;50,2306;12,8725;Czechia;CZ;CZE;Karlovarský Kraj;admin;49353;1203518899
Chomutov;Chomutov;50,4611;13,4167;Czechia;CZ;CZE;Ústecký Kraj;;47023;1203523082
Děčín;Decin;50,7736;14,1961;Czechia;CZ;CZE;Ústecký Kraj;;46799;1203262893
Mladá Boleslav;Mlada Boleslav;50,4125;14,9044;Czechia;CZ;CZE;Středočeský Kraj;;46428;1203616853
Jablonec nad Nisou;Jablonec nad Nisou;50,7244;15,1681;Czechia;CZ;CZE;Liberecký Kraj;;46226;1203127047
Prostějov;Prostejov;49,4722;17,1106;Czechia;CZ;CZE;Olomoucký Kraj;;43563;1203172907
Přerov;Prerov;49,4556;17,4511;Czechia;CZ;CZE;Olomoucký Kraj;;41661;1203137734
Česká Lípa;Ceska Lipa;50,6886;14,5386;Czechia;CZ;CZE;Liberecký Kraj;;37483;1203109242
Třebíč;Trebic;49,215;15,8817;Czechia;CZ;CZE;Vysočina;;34797;1203437113
Tábor;Tabor;49,4144;14,6578;Czechia;CZ;CZE;Jihočeský Kraj;;34370;1203712399
Třinec;Trinec;49,6778;18,6728;Czechia;CZ;CZE;Moravskoslezský Kraj;;34266;1203430167
Znojmo;Znojmo;48,8556;16,0489;Czechia;CZ;CZE;Jihomoravský Kraj;;34160;1203362507
Kolín;Kolin;50,0281;15,2006;Czechia;CZ;CZE;Středočeský Kraj;;33229;1203413479
Příbram;Pribram;49,6883;14,0092;Czechia;CZ;CZE;Středočeský Kraj;;32992;1203262749
Cheb;Cheb;50,0794;12,3706;Czechia;CZ;CZE;Karlovarský Kraj;;32825;1203676556
Písek;Pisek;49,3089;14,1475;Czechia;CZ;CZE;Jihočeský Kraj;;30986;1203813820
Trutnov;Trutnov;50,5606;15,9131;Czechia;CZ;CZE;Královéhradecký Kraj;;29584;1203787150
Kroměříž;Kromeriz;49,2989;17,3931;Czechia;CZ;CZE;Zlínský Kraj;;28089;1203995171
Orlová;Orlova;49,8453;18,4303;Czechia;CZ;CZE;Moravskoslezský Kraj;;27794;1203799110
Líšeň;Lisen;49,2075;16,6861;Czechia;CZ;CZE;Jihomoravský Kraj;;26266;1203926697
Břevnov;Brevnov;50,0844;14,3631;Czechia;CZ;CZE;Středočeský Kraj;;25756;1203462593
Vsetín;Vsetin;49,3386;17,9961;Czechia;CZ;CZE;Zlínský Kraj;;25255;1203549413
Šumperk;Sumperk;49,9653;16,9706;Czechia;CZ;CZE;Olomoucký Kraj;;24969;1203170809
Uherské Hradiště;Uherske Hradiste;49,0697;17,4597;Czechia;CZ;CZE;Zlínský Kraj;;24933;1203165664
Břeclav;Breclav;48,7589;16,8819;Czechia;CZ;CZE;Jihomoravský Kraj;;24863;1203778686
Bystrc;Bystrc;49,2247;16,5239;Czechia;CZ;CZE;Jihomoravský Kraj;;24655;1203641060
Havlíčkŭv Brod;Havlickuv Brod;49,6078;15,5808;Czechia;CZ;CZE;Vysočina;;23746;1203272361
Hodonín;Hodonin;48,8489;17,1325;Czechia;CZ;CZE;Jihomoravský Kraj;;23657;1203626632
Chrudim;Chrudim;49,9511;15,7956;Czechia;CZ;CZE;Pardubický Kraj;;23441;1203309920
Český Těšín;Cesky Tesin;49,7461;18,6261;Czechia;CZ;CZE;Moravskoslezský Kraj;;23282;1203518530
