City name,population,lat,lng
Prague,1165581,50.08804,14.42076
Brno,379466,49.19522,16.60796
Ostrava,279791,49.83465,18.28204
Pilsen,168733,49.74747,13.37759
Liberec,102951,50.76711,15.05619
Olomouc,99496,49.59552,17.25175
České Budějovice,93426,48.97447,14.47434
Hradec Králové,90596,50.20923,15.83277
Ústí nad Labem,90378,50.6607,14.03227
Pardubice,88520,50.04075,15.77659
Havířov,82768,49.77984,18.43688
Zlín,72973,49.22645,17.67065
Most,67905,50.50301,13.63617
Kladno,66903,50.14734,14.10285
Fryštát,63677,49.854,18.54169
Opava,60252,49.93866,17.90257
Frýdek-Místek,59416,49.68333,18.35
Děčín,52058,50.78215,14.21478
Teplice,51223,50.6404,13.82451
Chomutov,50251,50.46048,13.41779
Jihlava,50108,49.3961,15.59124
Prostějov,47374,49.47188,17.11184
Přerov,47311,49.45511,17.4509
Karlovy Vary,45500,50.23271,12.87117
Jablonec nad Nisou,44878,50.72431,15.17108
Mladá Boleslav,43684,50.41135,14.90318
Česká Lípa,38841,50.68551,14.53764
Třebíč,38785,49.21492,15.88166
Třinec,38415,49.67763,18.67078
Tábor,36264,49.41441,14.6578
Znojmo,35280,48.8555,16.0488
Příbram,35251,49.68988,14.01043
Orlová,34282,49.84527,18.43011
Cheb,33242,50.07963,12.37392
Trutnov,31398,50.56101,15.9127
Písek,29774,49.3088,14.1475
Kolín,29690,50.02806,15.1998
Kroměříž,29126,49.29785,17.39312
Šumperk,28768,49.96528,16.97061
Vsetín,28575,49.33871,17.99619
Valašské Meziříčí,27481,49.47181,17.97113
Litvínov,27022,50.6042,13.61812
Nový Jičín,26547,49.59438,18.01028
Uherské Hradiště,26421,49.06975,17.45969
Hodonín,26345,48.84893,17.13244
Břeclav,25789,48.75897,16.88203
Český Těšín,25750,49.74613,18.62613
Krnov,25547,50.08967,17.70385
Sokolov,24901,50.1813,12.6401
Litoměřice,24489,50.53348,14.1318
Havlíčkův Brod,24356,49.6069,15.57937
Chrudim,23630,49.95109,15.79558
Strakonice,23545,49.26141,13.90237
Kopřivnice,23424,49.59947,18.1448
Klatovy,23102,49.39552,13.29505
Bohumín,23075,49.90411,18.35755
Jindřichův Hradec,22812,49.14404,15.00301
Vyškov,22265,49.27747,16.99897
Kutná Hora,21280,49.94839,15.26816
Náchod,21263,50.4167,16.16289
Jirkov,21056,50.49979,13.44769
Zdar,20847,49.56263,15.93924
Blansko,20384,49.36304,16.64446
Žatec,19607,50.32717,13.54577
Hranice,19582,49.54796,17.73469
Mělník,19231,50.3505,14.47411
Louny,19147,50.35699,13.79667
Otrokovice,18857,49.20934,17.53944
Kadaň,18759,50.38333,13.26667
Bruntál,17686,49.98844,17.4647
Beroun,17550,49.96382,14.072
Uherský Brod,17508,49.02513,17.64715
Svitavy,17427,49.75594,16.46829
Kralupy nad Vltavou,17373,50.24107,14.31149
Rožnov pod Radhoštěm,17238,49.45853,18.14302
Ostrov,17206,50.30592,12.93907
Česká Třebová,16655,49.90436,16.44413
Pelhřimov,16541,49.43134,15.22336
Rakovník,16473,50.1037,13.7334
Neratovice,16427,50.25926,14.51759
Jičín,16328,50.43723,15.35162
Benešov,16257,49.78162,14.68697
Dvůr Králové nad Labem,16150,50.43172,15.81402
Varnsdorf,15895,50.91154,14.61824
Bílina,15738,50.54854,13.77535
Brandýs nad Labem-Stará Boleslav,15398,50.18709,14.66326
Ústí nad Orlicí,15151,49.97387,16.39361
Slaný,15070,50.23046,14.08693
Klášterec nad Ohří,15040,50.3886,13.18342
Turnov,14507,50.58356,15.15186
Chodov,14454,50.24018,12.74551
Nymburk,14373,50.18605,15.04167
Zábřeh,14360,49.8826,16.87223
Mariánské Lázně,14277,49.96459,12.70118
Hlučín,14228,49.89795,18.19196
Český Krumlov,14146,48.81091,14.31521
Sternberk,13967,49.73044,17.29889
Rokycany,13826,49.7427,13.59459
Krupka,13687,50.68449,13.85815
Aš,13210,50.22387,12.19499
Poděbrady,13128,50.14242,15.11881
Roudnice nad Labem,13084,50.42528,14.26175
Vrchlabí,12898,50.62697,15.60937
Jaroměř,12831,50.3562,15.92136
Tachov,12640,49.79528,12.63365
Jeseník,12457,50.22937,17.20464
Uničov,12385,49.77092,17.12144
Holešov,12384,49.33331,17.57832
Vysoké Mýto,12293,49.9532,16.16169
Vlašim,12225,49.70632,14.89881
Kyjov,12191,49.01018,17.12253
Nový Bor,12171,50.75761,14.55555
Veselí nad Moravou,12081,48.95363,17.37648
Prachatice,11803,49.01292,13.99752
Velké Meziříčí,11753,49.35522,16.01224
Rychnov nad Kněžnou,11695,50.16284,16.27488
Sušice,11483,49.23106,13.52018
Moravská Třebová,11414,49.75793,16.66426
Frenštát pod Radhoštěm,11334,49.54835,18.21078
Říčany,11329,49.99168,14.65427
Boskovice,11121,49.48751,16.65997
Rumburk,11101,50.95151,14.55699
Domažlice,10944,49.44049,12.92976
Humpolec,10914,49.54152,15.35932
Hlinsko,10411,49.76213,15.90756
Studénka,10341,49.72342,18.07853
Litomyšl,10146,49.86809,16.31298
Nové Město nad Metují,10126,50.34456,16.15147
Čelákovice,10125,50.16038,14.75005
Nové Město na Moravě,10098,49.56144,16.07418
Litovel,10062,49.70121,17.07615
Čáslav,10025,49.91099,15.38972
Chotěboř,9849,49.72072,15.67018
Lanškroun,9847,49.91217,16.6119
Frýdlant nad Ostravicí,9824,49.5928,18.35967
Mohelnice,9742,49.77698,16.91946
Ivančice,9737,49.10144,16.37752
Milevsko,9343,49.45089,14.36
Kuřim,9283,49.29852,16.53144
Nová Paka,9219,50.49449,15.51503
Lovosice,9196,50.51504,14.05103
Štětí,9165,50.45298,14.37421
Polička,9129,49.71465,16.26543
Rýmařov,9069,49.93183,17.27177
Semily,9040,50.60191,15.33552
Choceň,9008,50.00161,16.22303
Bystřice nad Pernštejnem,8996,49.52295,16.26147
Duchcov,8937,50.60376,13.74621
Hořice,8899,50.36609,15.63183
Třeboň,8862,49.00364,14.77065
Dobříš,8828,49.78113,14.16717
Příbor,8789,49.64094,18.14499
Hostivice,8777,50.08158,14.25856
Bystřice pod Hostýnem,8727,49.39924,17.67401
Roztoky,8611,50.15841,14.3976
Přelouč,8586,50.03985,15.56031
Nejdek,8565,50.32242,12.72936
Červený Kostelec,8441,50.47626,16.09289
Lipník nad Bečvou,8369,49.52721,17.58594
Mnichovo Hradiště,8368,50.5272,14.97134
Týn nad Vltavou,8296,49.2234,14.42057
Broumov,8254,50.58566,16.33181
Tišnov,8227,49.34872,16.42438
Lysá nad Labem,8194,50.20143,14.83281
Vimperk,8043,49.05857,13.78286
Moravské Budějovice,7971,49.05209,15.80864
Dačice,7958,49.08154,15.43727
Sedlčany,7836,49.66057,14.42664
Stříbro,7689,49.75565,12.997
Napajedla,7662,49.17156,17.51194
Mikulov,7608,48.80556,16.6378
Dubí,7591,50.68558,13.78561
Hulín,7571,49.31689,17.46374
Bílovec,7486,49.75639,18.01581
Frýdlant,7471,50.92139,15.07974
Sezimovo Ústí,7420,49.38519,14.6848
Odry,7395,49.66255,17.83084
Černošice,7329,49.96008,14.31979
Hrádek nad Nisou,7327,50.85279,14.84455
Soběslav,7308,49.25993,14.71861
Kaplice,7195,48.73881,14.49449
Nový Bydžov,7160,50.2415,15.49082
Kraslice,7159,50.32372,12.51747
Šlapanice,7109,49.16863,16.72731
Dobruška,7085,50.29201,16.16001
Slavičín,7079,49.08799,17.87349
Český Brod,7071,50.0742,14.86081
Světlá nad Sázavou,7037,49.66801,15.40393
Nýřany,6942,49.71145,13.21185
Tanvald,6921,50.73735,15.30585
Petřvald,6854,49.831,18.3894
Benátky nad Jizerou,6818,50.29085,14.82343
Kravaře,6787,49.93203,18.00472
Rychvald,6771,49.86625,18.37626
Staré Město,6742,49.07515,17.43338
Blatná,6735,49.42489,13.88176
Letovice,6720,49.54709,16.57357
Mimoň,6692,50.65869,14.72474
Vodňany,6687,49.14789,14.17513
Dubňany,6649,48.91694,17.09004
Veselí nad Lužnicí,6534,49.1843,14.69734
Hronov,6516,50.47968,16.1823
Železný Brod,6442,50.64274,15.25408
Hořovice,6431,49.83597,13.90268
Kojetín,6397,49.35179,17.30207
Bučovice,6386,49.14896,17.00191
Vratimov,6378,49.76995,18.31015
Přeštice,6353,49.57298,13.3335
Týniště nad Orlicí,6342,50.15136,16.0777
Holice,6219,50.06601,15.9859
Podbořany,6212,50.22937,13.41192
Vítkov,6202,49.77445,17.74941
Letohrad,6195,50.0358,16.49879
Kostelec nad Orlicí,6184,50.12267,16.21319
Fulnek,6107,49.71238,17.90319
Žamberk,6082,50.08601,16.46738
Vrbno pod Pradědem,6072,50.12095,17.38316
Chrastava,6051,50.81693,14.96884
Moravský Krumlov,6050,49.04893,16.31169
Ledeč nad Sázavou,6048,49.69517,15.27772
Třešť,5979,49.29092,15.48211
Úpice,5959,50.51237,16.01607
Lomnice nad Popelkou,5957,50.53062,15.37341
Slavkov u Brna,5936,49.15325,16.87649
Hustopeče,5913,48.94085,16.73762
Strážnice,5900,48.90102,17.3168
Telč,5883,49.18418,15.45275
Horní Slavkov,5818,50.13863,12.80758
Kraluv Dvur,5805,49.94981,14.03445
Jablunkov,5782,49.57672,18.76458
Dobřany,5779,49.65482,13.29307
Jilemnice,5777,50.6089,15.50653
Bechyně,5755,49.29523,14.4681
Rousínov,5730,49.20128,16.88215
Horažďovice,5727,49.32069,13.701
Šluknov,5701,51.00369,14.45258
Třebechovice pod Orebem,5611,50.20097,15.99223
Luhačovice,5554,49.09982,17.75747
Stochov,5538,50.14631,13.96345
Česká Kamenice,5475,50.7978,14.41767
Šenov,5462,49.79315,18.37607
Milovice,5461,50.22596,14.88863
Kunovice,5452,49.04499,17.47011
Planá,5450,49.86816,12.74378
Skuteč,5415,49.84347,15.99655
Zubří,5409,49.46603,18.09249
Česká Skalice,5402,50.39467,16.04276
Františkovy Lázně,5355,50.12033,12.35174
Habartov,5337,50.18297,12.55054
Pohořelice,5312,48.98119,16.52445
Jílové,5307,50.76082,14.10383
Chlumec nad Cidlinou,5292,50.1544,15.46026
Rosice,5287,49.18232,16.38787
Hradec nad Moravicí,5255,49.87042,17.87843
Valašské Klobouky,5201,49.14064,18.0076
Náměšť nad Oslavou,5192,49.20726,16.15849
Chropyně,5172,49.35644,17.36451
Týnec nad Sázavou,5165,49.83348,14.58983
Pacov,5145,49.47076,15.00168
Kynšperk nad Ohří,5085,50.11893,12.53027
Nové Strašecí,5082,50.15272,13.90043
Bystřice,5076,49.63657,18.72038
Nýrsko,5070,49.29387,13.14353
Doksy,5025,50.56471,14.65553
Polná,5006,49.487,15.71881
Kdyně,4985,49.39077,13.03968
Osek,4975,50.62115,13.69274
Zruč nad Sázavou,4925,49.7401,15.10606
Postoloprty,4924,50.35979,13.70291
Jílové u Prahy,4919,49.89545,14.49333
Horšovský Týn,4905,49.52965,12.94405
Meziboři,4885,50.62115,13.5987
Petrovice u Karviné,4874,49.89587,18.54779
Adamov,4871,49.30162,16.65253
Bělá pod Bezdězem,4855,50.50121,14.80418
Heřmanův Městec,4841,49.94707,15.66492
Úvaly,4797,50.07394,14.7308
Hostinné,4795,50.54066,15.72334
Vamberk,4768,50.11756,16.29067
Protivín,4760,49.19949,14.21717
Bojkovice,4742,49.03864,17.81487
Králíky,4723,50.08384,16.76054
Dolní Lutyně,4712,49.89876,18.42815
Trhové Sviny,4705,48.84231,14.63924
Hluboká nad Vltavou,4682,49.05225,14.43427
Holýšov,4659,49.59361,13.10129
Třemošná,4654,49.81584,13.39499
Ludgeřovice,4635,49.89042,18.24008
Oslavany,4561,49.12335,16.33653
Uherský Ostroh,4526,48.98556,17.38984
Vizovice,4518,49.22287,17.85455
Vracov,4491,48.97523,17.211
Horní Suchá,4466,49.7978,18.48189
Horní Bříza,4463,49.84012,13.35558
Votice,4461,49.64013,14.63809
Odolena Voda,4451,50.23341,14.41078
Hlubočky,4448,49.61783,17.39436
Zlaté Hory,4446,50.2638,17.39602
Cvikov,4435,50.77668,14.63298
Hluk,4424,48.98805,17.52744
Bakov nad Jizerou,4417,50.4823,14.94149
Starý Plzenec,4387,49.69768,13.4735
Pečky,4317,50.09043,15.03017
Police nad Metují,4316,50.53687,16.2335
Bzenec,4315,48.97336,17.26685
Dolní Benešov,4314,49.92101,18.10835
Jemnice,4311,49.01898,15.56994
Rožmitál pod Třemšínem,4203,49.60196,13.8643
Bolatice,4186,49.95172,18.08358
Mníšek pod Brdy,4181,49.8665,14.26176
Jaroměřice nad Rokytnou,4171,49.09408,15.89331
Chlumec,4170,50.69972,13.93964
Velké Opatovice,4169,49.61237,16.67947
Kostelec nad Labem,4156,50.22653,14.58552
Kamenice nad Lipou,4148,49.30303,15.07519
Stráž pod Ralskem,4068,50.7028,14.80102
Volary,4059,48.90881,13.88657
Zdice,4047,49.91207,13.97747
Nová Role,4047,50.27092,12.78422
Benešov nad Ploučnicí,4043,50.74159,14.31239
Bor,4025,49.71159,12.77516
Velešín,4023,48.82949,14.46252
Slatiňany,4004,49.9211,15.81377
Lišov,3989,49.01597,14.60838
Mosty u Jablunkova,3989,49.52737,18.75417
Kamenický Šenov,3982,50.77359,14.47287
Přibyslav,3965,49.57684,15.73855
Rajhrad,3956,49.09021,16.60388
Ratíškovice,3955,48.92002,17.16561
Jiříkov,3926,50.99514,14.5691
Vendryně,3918,49.66662,18.71307
Nové Město pod Smrkem,3915,50.92491,15.22943
Blovice,3901,49.5822,13.54009
Zbýšov,3890,49.15524,16.34951
Větřní,3870,48.77425,14.28616
Modřice,3866,49.11928,16.60446
Kosmonosy,3822,50.4385,14.93
Dětmarovice,3821,49.89412,18.46079
Návsí u Jablunkova,3809,49.5872,18.75907
Strání,3803,48.90216,17.70671
Sázava,3797,49.87164,14.89674
Klimkovice,3779,49.78809,18.12585
Kostelec nad Černými Lesy,3773,49.99403,14.85922
Zdiby,3766,50.16799,14.45118
Paskov,3754,49.73179,18.29037
Brtnice,3744,49.30695,15.67642
Lázně Bělohrad,3744,50.42874,15.58269
Lom u Mostu,3736,50.59328,13.65729
Toužim,3732,50.06049,12.98506
Velké Bílovice,3727,48.84929,16.89227
Jablonné v Podještědí,3699,50.76528,14.76052
Břidličná,3698,49.91167,17.37107
Krásná Lípa,3677,50.48378,13.3575
Nepomuk,3670,49.48616,13.58225
Březnice,3662,49.55763,13.95063
Suchdol nad Lužnicí,3659,48.89,14.8772
Valtice,3656,48.74069,16.75499
Zliv,3656,49.06608,14.36613
Dobřichovice,3651,49.92749,14.27469
Mutěnice,3647,48.90413,17.02917
Město Albrechtice,3638,50.16294,17.57481
Libochovice,3627,50.40626,14.04439
Brušperk,3620,49.7001,18.2221
Rájec-Jestřebí,3619,49.41094,16.63902
Žacléř,3613,50.66329,15.91063
Lanžhot,3608,48.72443,16.96695
Klecany,3601,50.17599,14.41148
Řevnice,3584,49.91395,14.23589
Hanušovice,3556,50.08049,16.93641
Fryšták,3540,49.2852,17.68346
Stod,3532,49.63909,13.16474
Hrušovany u Brna,3528,49.03863,16.59429
Kralovice,3526,49.98192,13.48747
Desná,3481,50.75987,15.30284
Unhošť,3480,50.08535,14.13007
České Velenice,3479,48.76851,14.96368
Libčice nad Vltavou,3456,50.19778,14.36385
Smržovka,3433,50.7382,15.24639
Rohatec,3413,48.8804,17.1833
Rotava,3403,50.29627,12.57341
Štramberk,3380,49.59181,18.11741
Nová Bystřice,3371,49.01926,15.10316
Moravský Beroun,3369,49.79374,17.44212
Rudná,3360,50.03502,14.23435
Ostrožská Nová Ves,3360,49.00434,17.43632
Háj ve Slezsku,3322,49.89856,18.0954
Postřelmov,3314,49.90756,16.91226
Štěpánov,3310,49.68404,17.22041
Hrušovany nad Jevišovkou,3309,48.82991,16.40271
Libušín,3281,50.16819,14.05458
Rokytnice nad Jizerou,3281,50.72561,15.43357
Nivnice,3278,48.97465,17.64757
Lázně Bohdaneč,3274,50.0756,15.67978
Vejprty,3273,50.49232,13.03212
Třemošnice,3273,49.86912,15.58002
Kobeřice,3228,49.98548,18.05212
Chvaletice,3223,50.03443,15.41846
Sadská,3221,50.13596,14.98633
Jesenice,3221,49.96814,14.5135
Loket,3217,50.186,12.75405
Lutín,3194,49.55845,17.13572
Volyně,3190,49.16578,13.88624
Červená Voda,3180,50.04029,16.74268
Opočno,3177,50.26742,16.1148
Budišov nad Budišovkou,3159,49.79511,17.62969
Velká nad Veličkou,3149,48.88257,17.5206
Jablonné nad Orlicí,3147,50.02964,16.60059
Jáchymov,3143,50.35846,12.93465
Zeleneč,3133,50.13362,14.6607
Planá nad Lužnicí,3128,49.35444,14.70147
Smiřice,3122,50.29978,15.86508
Střelice,3103,49.15221,16.50399
Loštice,3098,49.7447,16.92892
Sezemice,3097,50.06651,15.8527
Štěpánkovice,3096,49.95738,18.03741
Žirovnice,3085,49.25318,15.18824
Velké Pavlovice,3078,48.90469,16.81605
Židlochovice,3075,49.03952,16.61881
Vnorovy,3062,48.93096,17.3505
Uhlířské Janovice,3058,49.88019,15.06481
Kaznějov,3053,49.89313,13.38295
Vlčnov,3037,49.0099,17.58183
Klášter,3034,49.96762,12.87623
Dobrá,3032,49.67383,18.41393
Staňkov,3026,49.55348,13.06976
Rtyně v Podkrkonoší,3023,50.50523,16.07187
Miroslav,3017,48.94767,16.31252
Teplá,3013,49.97997,12.86432
Kamenice,3011,49.90151,14.58242
Rapotín,3009,50.01094,17.03121
